Time (s), C07, C08, C15, C19, C21, C24, C25, C31, C33, C36, C37, C45, C46, C50, C51, C55, C56, C57, C62, C65
0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.199922,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.399844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.599766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.799688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.99961,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.199532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.399454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.599376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.799298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.99922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.199142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.399064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.598986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.798908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.99883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.198752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.398674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.598596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.798518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.99844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.198362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.398284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.598206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.798128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.99805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.197972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.397894,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.597816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.797738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.99766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.197582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.397504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.597426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.797348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.99727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.197192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.397114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.597036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
